Registered S3 methods overwritten by 'RcppGSL':
  method               from     
  predict.fastLm       RcppEigen
  print.fastLm         RcppEigen
  summary.fastLm       RcppEigen
  print.summary.fastLm RcppEigen
Loading required package: future
[2026-07-22 13:58:19] EXPERIMENT START | scenarios=4 | q-levels=6 | repliche/scenario/q=500 | total jobs=12000
[2026-07-22 13:58:20] START  scenario=unif_big | jobs=3000 (6 q x 500 repliche) | M=1500 | n_max=10000
[2026-07-22 14:04:36] PROGRESS scenario=zipf_heavy | 600/3000 (20.0%) | q=0.005 rep=100 | elapsed=00:00:59 | ETA=00:03:56 | rate=10.172 job/s
[2026-07-22 14:04:40] PROGRESS scenario=zipf_heavy | 650/3000 (21.7%) | q=0.0001 rep=109 | elapsed=00:01:04 | ETA=00:03:51 | rate=10.187 job/s
[2026-07-22 14:04:45] PROGRESS scenario=zipf_heavy | 700/3000 (23.3%) | q=0.001 rep=117 | elapsed=00:01:09 | ETA=00:03:46 | rate=10.199 job/s
[2026-07-22 14:04:50] PROGRESS scenario=zipf_heavy | 750/3000 (25.0%) | q=0.005 rep=125 | elapsed=00:01:14 | ETA=00:03:41 | rate=10.188 job/s
[2026-07-22 14:04:55] PROGRESS scenario=zipf_heavy | 800/3000 (26.7%) | q=0.0001 rep=134 | elapsed=00:01:18 | ETA=00:03:36 | rate=10.202 job/s
[2026-07-22 14:05:00] PROGRESS scenario=zipf_heavy | 850/3000 (28.3%) | q=0.001 rep=142 | elapsed=00:01:23 | ETA=00:03:31 | rate=10.193 job/s
[2026-07-22 14:05:05] PROGRESS scenario=zipf_heavy | 900/3000 (30.0%) | q=0.005 rep=150 | elapsed=00:01:28 | ETA=00:03:26 | rate=10.198 job/s
[2026-07-22 14:05:10] PROGRESS scenario=zipf_heavy | 950/3000 (31.7%) | q=0.0001 rep=159 | elapsed=00:01:33 | ETA=00:03:21 | rate=10.199 job/s
[2026-07-22 14:05:15] PROGRESS scenario=zipf_heavy | 1000/3000 (33.3%) | q=0.001 rep=167 | elapsed=00:01:38 | ETA=00:03:16 | rate=10.208 job/s
[2026-07-22 14:05:19] PROGRESS scenario=zipf_heavy | 1050/3000 (35.0%) | q=0.005 rep=175 | elapsed=00:01:43 | ETA=00:03:11 | rate=10.214 job/s
[2026-07-22 14:05:24] PROGRESS scenario=zipf_heavy | 1100/3000 (36.7%) | q=0.0001 rep=184 | elapsed=00:01:48 | ETA=00:03:06 | rate=10.221 job/s
[2026-07-22 14:05:29] PROGRESS scenario=zipf_heavy | 1150/3000 (38.3%) | q=0.001 rep=192 | elapsed=00:01:53 | ETA=00:03:01 | rate=10.216 job/s
[2026-07-22 14:05:34] PROGRESS scenario=zipf_heavy | 1200/3000 (40.0%) | q=0.005 rep=200 | elapsed=00:01:57 | ETA=00:02:56 | rate=10.219 job/s
[2026-07-22 14:05:39] PROGRESS scenario=zipf_heavy | 1250/3000 (41.7%) | q=0.0001 rep=209 | elapsed=00:02:02 | ETA=00:02:51 | rate=10.229 job/s
[2026-07-22 14:05:44] PROGRESS scenario=zipf_heavy | 1300/3000 (43.3%) | q=0.001 rep=217 | elapsed=00:02:07 | ETA=00:02:46 | rate=10.230 job/s
[2026-07-22 14:05:49] PROGRESS scenario=zipf_heavy | 1350/3000 (45.0%) | q=0.005 rep=225 | elapsed=00:02:12 | ETA=00:02:41 | rate=10.223 job/s
[2026-07-22 14:05:54] PROGRESS scenario=zipf_heavy | 1400/3000 (46.7%) | q=0.0001 rep=234 | elapsed=00:02:17 | ETA=00:02:36 | rate=10.226 job/s
